"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82"
"HALLMARK_MYC_TARGETS_V1","0.108974358974359","0.272435897435897","0.169570644405628","-0.292949145843051","-1.21105134250744","177","Rplp0","Rpl6","Ywhaq","Vdac3","Eef1b2","Odc1","Sf3b3","Snrpg","Nop16","Phb2","Hprt","Ap3s1","Srsf2","Cyc1","Cox5a","Abce1","Cct4","Ptges3","Eif3b","Eif1ax","G3bp1","Ifrd1","Psma7","Bub3","Prdx3","Mrps18b","Rps5","Ddx18","Psmb2","Rpl18","Eif4a1","Impdh2","Clns1a","Snrpd2","Srpk1","Ndufab1","Eif4g2","Ppm1g","Prpf31","Cad","Psma2","Rfc4","Eif2s2","Srm","Cct2","Rpl22","Snrpa1","Cct3","Nhp2","Rack1","Ldha","Gnl3","Rad23b","Psma4","Srsf1","Txnl4a","Etf1","Sf3a1","Snrpd3","Ppia","Hsp90ab1","Glo1","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.104347826086957","0.272435897435897","0.181383128498408","-0.363360420631594","-1.28321462752679","61","Il18","Ldlr","Ripk2","Btg2","Cx3cl1","Slc31a1","Axl","Cd82","Selenos","Rela","Tpbg","Pdpn","Nmi","Atp2c1","Rhog","Ifitm2","Lyn","Rgs16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.0938566552901024","0.260712931361396","0.190023305279108","-0.317354885027076","-1.23299267181975","115","Irak1","Pmm1","Ak1","Prmt2","App","Cyfip2","Fuca1","Tm4sf1","Cgrrf1","Btg2","Tspyl2","Zfp36l1","Rnf19b","Sertad3","Bivm","Hspa4l","Cd82","Blcap","Hdac3","Fam162a","Rpl18","Hras","Sat1","Tcn2","Elp1","Rpl36","Atf3","Sp1","Fos","Stom","Pitpnc1","Tax1bp3","Rgs16","Rchy1","Vwa5a","Vamp8","Cdk5r1","Trafd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.0770577933450088","0.22664056866179","0.213927855492356","-0.332434291554525","-1.26149645663687","98","Il18","Ldlr","Junb","Ripk2","Nr4a2","Nfe2l2","Rel","Btg2","Rnf19b","Ccnl1","Egr1","Klf9","Phlda1","Rela","Snn","Sat1","Atf3","Gfpt2","Fos","Zfp36","Sqstm1","Hes1","Sik1","Rhob","Btg3","Bcl6","Rcan1","Tubb2a","Plpp3","Ackr3","Id2","Maff","B4galt1","Yrdc","Litaf","Zbtb10","Nfil3","G0s2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_GLYCOLYSIS","0.0436974789915966","0.145658263305322","0.282013350011725","-0.329258088506359","-1.29651593213623","122","Sod1","Galk1","Aldh9a1","Pgam1","Dpysl4","Hdlbp","Hax1","Taldo1","Pkm","Aldoa","Pmm2","Homer1","B3gat1","Dld","Aldh7a1","Sox9","Ndufv3","Mdh1","Fam162a","Tpbg","Polr3k","Rars","Pfkp","B4galt2","Idh1","Mif","Cited2","Alg1","Nanp","Chst1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.0311152922016912","0.111126043577469","0.352487857583619","-0.369134622725428","-1.38624001619706","91","Lap3","Ctsh","Usp16","Dgkh","Prep","Cda","Clu","Msrb1","Usp14","Serping1","Calm1","Fdx1","Csrp1","Gmfb","Gnai2","Calm3","Zeb1","Lipa","Actn2","Anxa5","Vcpip1","Pla2g7","Casp9","Cp","Rhog","Stx4a","Lyn","Prkcd","Cdk5r1","Dusp6","Kcnip3","Pfn1","Atox1","Src","Ppp2cb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.0308066657678939","0.111126043577469","0.352487857583619","-0.353729695610618","-1.3423066421138","98","Slc24a3","Idh2","Flnb","Ckb","Cd9","Etfb","Slc2a8","Slc22a21","Hprt","Mettl3","Emp2","Chst8","Cav1","Cox6c","Mocs2","Hspb8","Hspa4l","Rnaseh2a","Homer2","Nxt1","Bag1","Ugdh","Tpbg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.0272158207886609","0.111126043577469","0.352487857583619","-0.401301430534656","-1.42647646191681","66","Sod1","Aldh9a1","Idh2","Slc35b2","Prdx1","Ercc1","Slc25a4","Msh2","Eci2","Ywhah","Crat","Fis1","Hras","Pex6","Isoc1","Slc23a2","Idh1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_FATTY_ACID_METABOLISM","0.0258435845701182","0.111126043577469","0.352487857583619","-0.360774263353079","-1.38218129715291","103","Hsph1","Aldh9a1","Fmo1","Adsl","Odc1","Slc22a21","Aco2","Aldoa","Acat2","Hsdl2","Dld","Acadvl","Grhpr","Eci2","Ywhah","Bckdhb","Crat","Sdha","Mdh1","Echs1","Acads","Ugdh","Pts","Trp53inp2","Cryz","Urod","Idh1","Mif","Bphl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.0240872244537024","0.111126043577469","0.352487857583619","-0.324914659453937","-1.31815304152061","155","Cacybp","Shmt2","Ldlr","Uchl5","Cd9","Nmt1","Qdpr","Sla","Prdx1","Hprt","Aldoa","Psmb5","Btg2","Immt","Ifrd1","Slc2a1","Psme3","Fads2","Serp1","Tfrc","Nufip1","Ube2d3","Ufm1","Psat1","Pdk1","Rpa1","Tm7sf2","Idh1","Cyp51","Pnp","Psmc2","Gbe1","Sqstm1","Eif2s2","Sqle","Hmgcs1","Gpi1","Rit1","Cct6a","Hspa9","Dhcr7","Tpi1","Slc7a5","Hmgcr","Eef1e1","Ldha","Psma4","Insig1","Etf1","Atp2a2","Ebp","Ppia","Gsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COAGULATION","0.0240731663944213","0.111126043577469","0.352487857583619","-0.44389739855707","-1.44170582469141","40","Dusp14","Ctsh","Cd9","Prep","Trf","Clu","Mmp11","Serping1","Csrp1","Casp9","Wdr1","Furin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_XENOBIOTIC_METABOLISM","0.00603272409751438","0.0377045256094649","0.407017918923954","-0.405846972927982","-1.51660518950299","87","Shmt2","Aldh9a1","Fmo1","Mccc2","Pmm1","Nmt1","Mthfd1","Cda","Hprt","Aco2","Adh5","Cyfip2","Ptges3","Jup","Gsto1","Ddt","Mt1","Ugdh","Pts","Tmbim6","Dhrs1","Psmb10","Idh1","Comt","Ssr3","Bphl","Pgrmc1","Man1a","Slc35b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ADIPOGENESIS","0.00582066440809059","0.0377045256094649","0.407017918923954","-0.362437652317446","-1.45117841772748","141","Sod1","G3bp2","Atl2","Etfb","Nmt1","Qdpr","Chchd10","Taldo1","Aco2","Cyc1","Dbt","Aldoa","Bcl2l13","Lpcat3","Immt","Dld","Dnajc15","Lifr","Cmpk1","Hspb8","Ubc","Ubqln1","Ddt","Uqcr10","Agpat3","Prdx3","Uqcrq","Ndufb7","Crat","Echs1","Acads","Jagn1","Preb","Cd151","Atp5o","Coq5","Idh1","Ndufab1","Pim3","Samm50","Stom","Cox6a1","Gbe1","Gpam","Phyh","Mdh2","Dgat1","Bckdha","Dhcr7","Gphn","Bcl6","Ghitm","Ndufs3","Ak2","Arl4a","Riok3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.00352567257985939","0.0293806048321616","0.431707695803346","-0.480477569044362","-1.64133862386453","52","Ldlr","Cd9","Stx5a","Aldoc","Clu","Pcyt2","Acat2","Fads2","Errfi1","Anxa5","Atf3","Gstm7","Tm7sf2","S100a11","Cyp51","Atf5","Sqle","Hmgcs1","Ctnnb1","Dhcr7","Fabp5","Hmgcr","Actg1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_UP","0.00239578179693831","0.0239578179693831","0.431707695803346","-0.412593979768691","-1.58788388842057","110","Eif2s3y","Wiz","Fmo1","Junb","Msx1","Ppp1r2","Ap2s1","Atp6v1f","Cltb","Aldoa","Mapk8ip2","Prkaca","Btg2","Stard3","Slc25a4","Bcl2l11","Dnaja1","Cdc34","Tfrc","Hspa2","Tmbim6","Eif5","Nptx2","Atf3","Polg2","Stk25","Furin","Urod","Fos","Bsg","Prpf3","Lyn","Spr","Acaa1a","Eif2s3x","Rfc4","Sqstm1","Rhob","Btg3","Dgat1","Prkcd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.000170501807591838","0.00426254518979594","0.518848077743792","-0.617213595452758","-1.95558519935031","34","Hmox2","Ftl1","Sod1","Ndufa6","Junb","Ndufb4","Pdlim1","Prdx1","Lamtor5","Prdx2","Selenos","Mgst1","Stk25","Pfkp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","1.55140275777061e-09","7.75701378885303e-08","0.788186810800237","-0.499785786256807","-2.06097114191084","175","Atp5c1","Mrps15","Mrps30","Vdac3","Ndufa6","Idh2","Oxa1l","Uqcrh","Ndufb4","Ndufa4","Mrps11","Etfb","Ndufv2","Atp5k","Atp6v0c","Atp5d","Lrpprc","Atp6v1f","Ndufs8","Atp5j","Phb2","Aco2","Cyc1","Cox5a","Etfa","Ndufb8","Immt","Dld","Ndufb5","Cox6b1","Acadvl","Cox6c","Slc25a4","Pmpca","Timm8b","Uqcr10","Isca1","Prdx3","Supv3l1","Fdx1","Uqcrq","Mrps22","Ndufb7","Atp6v0e","Atp5g3","Sdha","Ndufs7","Mdh1","Hadha","Echs1","Ndufa3","Cyb5r3","Atp5o","Ndufb2","Atp5e","Cox5b","Cox4i1","Idh1","Ndufab1","Atp5j2","Cox6a1","Acaa1a","Gpi1","Slc25a20","Hsd17b10","Ndufa1","Atp6v1g1","Hspa9","Phyh","Ndufa8","Mdh2","Polr2f","Ndufs6","Bckdha","Ndufv1","Mpc1","Ldha","Ndufa7","Hccs","Ndufs3","Mrpl11","Uqcrb"
