"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ascc1",0.0452239548684164,-0.0119261566481206,0.1,0.184,0.146057092968951
"Pdcl3",0.0452673588132884,-0.0731807324470139,0.229,0.34,0.14614618987938
"Slc9a3r1",0.0453143227985912,-0.0471821906586946,0.071,0.139,0.146246714166603
"Mast1",0.0453302088793993,0.0704456274812648,0.114,0.059,0.1462469029489
"Gm14964",0.0453660822965923,-0.0632933172157557,0.079,0.149,0.146286707774149
"Faf2",0.0453869408841577,-0.0463474457872475,0.25,0.385,0.146286707774149
"Kifap3",0.0453969659534124,-0.0911856668311105,0.371,0.528,0.146286707774149
"Ankrd40",0.0454058742311968,-0.0314782947206957,0.136,0.229,0.146286707774149
"Ckap2",0.0455155983493425,-0.119279411141081,0.45,0.594,0.146589100295547
"Atp6v0e2",0.0455353268823768,-0.0207139352750166,0.171,0.278,0.146601540206677
"Vta1",0.0455708500573914,-0.0437548638441104,0.257,0.403,0.146664804782409
"Erlec1",0.0456426686641066,-0.0414011533267151,0.207,0.323,0.146844797512655
"Slc7a1",0.0456868207249571,-0.0467610235213977,0.121,0.212,0.146935685171808
"Eif4h",0.0458061590153305,-0.137746447089053,0.529,0.649,0.147268235665154
"Fmr1",0.0458814821556988,-0.0852107958606194,0.364,0.552,0.147459093954316
"Tmem242",0.0459185101068597,-0.0646636702366466,0.1,0.177,0.14752678490521
"Tusc2",0.045963405914509,-0.0754094225729157,0.121,0.201,0.14761969782762
"Cacfd1",0.0461067896637648,-0.030695310959912,0.15,0.25,0.148028747912852
"Ttc23",0.0462465995838443,-0.0747078504440112,0.121,0.205,0.148426043818938
"Cep112",0.0462742285642439,-0.0916458649446739,0.35,0.483,0.148463149976949
"Mob1b",0.0463822601934154,-0.0553934737258735,0.193,0.299,0.148758099336049
"AI504432",0.0464658405210319,-0.0466910484105238,0.079,0.149,0.148974450525446
"Luc7l",0.0464961083647364,-0.0997659603827039,0.393,0.531,0.149019785393744
"Elmod2",0.0465138127149225,-0.0760490050633546,0.121,0.201,0.149024836853635
"Atic",0.0465783476807259,-0.028816681609253,0.136,0.229,0.149179872641216
"Hus1",0.0466153079236962,-0.0330419533566853,0.071,0.139,0.149246516013497
"Map1lc3a",0.046731198679323,-0.0611301534365883,0.243,0.372,0.149525465734064
"Actr8",0.0467347992467509,-0.0381621820632413,0.1,0.181,0.149525465734064
"Aldh7a1",0.0467674647152708,-0.0135482007083027,0.093,0.177,0.149578184136069
"Pigq",0.0468979502715057,-0.0587527367354799,0.129,0.215,0.149943619553188
"Spc25",0.0469414976375497,-0.122483182289858,0.386,0.5,0.149973505507906
