"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89","Leading Edge 90","Leading Edge 91","Leading Edge 92","Leading Edge 93","Leading Edge 94","Leading Edge 95","Leading Edge 96","Leading Edge 97","Leading Edge 98","Leading Edge 99","Leading Edge 100","Leading Edge 101","Leading Edge 102","Leading Edge 103","Leading Edge 104","Leading Edge 105","Leading Edge 106","Leading Edge 107","Leading Edge 108","Leading Edge 109","Leading Edge 110","Leading Edge 111","Leading Edge 112","Leading Edge 113"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.302325581395349","0.73976092494611","0.0699458736501659","-0.461125283204669","-1.09307751362769","43","Idi1","Fabp5","Actg1","Ebp","Gpx8","Tmem97","Acat2","Pmvk","Fdft1","Ctnnb1","Nsdhl","Stx5a","Ethe1","Hmgcs1","Sqle","Cd9","Atf5","Fasn","Pnrc1","Antxr2","Scd2","Acss2","Sc5d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT","0.298298298298298","0.73976092494611","0.070113215764256","-0.418913108307664","-1.05482474289365","180","Stmn1","Cdk4","Hspa8","Marcks","Top1","Hnrnpd","Rad21","Ncl","Ccna2","Odc1","Ube2s","Cdkn2c","Cks1b","Ube2c","Chek1","Cks2","Cdc20","Espl1","Kmt5a","Bard1","Mad2l1","Mcm6","Srsf1","Hnrnpu","Mcm5","Plk1","G3bp1","Uck2","Nolc1","Mcm2","Cdc45","Ccnb2","Hmmr","Prmt5","Nusap1","Mcm3","Pttg1","Cenpf","Dr1","Pbk","Nek2","Plk4","Ccnt1","Chmp1a","Katna1","Tfdp1","Rad23b","Incenp","Lmnb1","Tra2b","Birc5","Ilf3","Rbm14","Kif2c","Dkc1","Hira","Slc7a1","Hus1","Gspt1","Fbxo5","Sfpq","Mki67","Sap30","Smc2","Sqle","Jpt1","Cul4a","E2f4","Atf5","Cdkn3","Upf1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_COMPLEMENT","0.222222222222222","0.617283950617284","0.0860347242455604","-0.457285630004333","-1.11124596623872","75","Gnai2","Pfn1","Calm1","Ctsd","Lta4h","Atox1","Pim1","Hspa5","Ppp4c","Gmfb","Csrp1","Brpf3","Lap3","Scg3","Rnf4","Cdk5r1","Psen1","Fdx1","Xpnpep1","Casp3","Gnb2","Plat","Stx4a","Rce1","Cd46","Gca","Prep","Timp2","Ppp2cb","Serping1","Calm3","Kcnip3","Jak2","Sirt6","Vcpip1","Usp14","Grb2","Mmp14","Pdp1","Rbsn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_P53_PATHWAY","0.171686746987952","0.504961020552799","0.100633389423036","-0.453848896496891","-1.11889750775659","101","Rack1","Rpl36","Hint1","Aen","Rchy1","Triap1","Rpl18","Rps27l","Ctsd","Pmm1","Ldhb","Trafd1","Hras","Ccnk","Fam162a","Pcna","Sec61a1","Cdk5r1","Sat1","Prkab1","Mdm2","Hdac3","Trp53","Nol8","Sp1","Rab40c","F2r","Ccnd3","Traf4","Slc3a2","Ccnd2","Abat","Mxd1","Btg2","Plxnb2","Wwp1","Bax","Cd81","Notch1","Tob1","Wrap73","Rrp8","Txnip","Cdkn2aip","Xpc","Elp1","Tax1bp3","Ier5","Plk2","Btg1","Ei24","Slc35d1","Sesn1","Dnttip2","Ppm1d","Ddit4","Bivm","Hspa4l","App","Fbxw7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_BILE_ACID_METABOLISM","0.0293394937934426","0.0916859181045081","0.352487857583619","-0.576923731368075","-1.3655898052691","42","Idi1","Scp2","Sod1","Rbp1","Gclm","Idh1","Pnpla8","Pex13","Idh2","Prdx5","Fads1","Slc35b2","Phyh","Pex19","Hsd17b4","Abcd3","Pex6","Lonp2","Cat","Slc29a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.0198143023123442","0.0660476743744806","0.352487857583619","-0.510702489561362","-1.25331000330096","90","Rps14","Nhp2","Eif4a3","Exosc5","Npm1","Yif1a","Eef2","Lsm1","Cks1b","Hspa5","Pop4","Eif4a1","Exosc9","Lsm4","Nop14","Nfya","Mthfd2","Nop56","Cnot6","Preb","Nolc1","Hspa9","Cebpg","Wipi1","Ywhaz","Serp1","Exosc4","Eif2s1","Calr","Sec11a","Ssr1","Srpr","Herpud1","Gosr2","Dkc1","Atp6v0d1","Slc1a4","Ddx10","Nfyb","Pdia6","Atf4","Exosc10","Psat1","Spcs1","Aldh18a1","Paip1","Dnajb9","Eif4g1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ALLOGRAFT_REJECTION","0.0190216136583037","0.0660476743744806","0.352487857583619","-0.555706007100314","-1.33544985567821","54","Rps3a1","Rpl39","Rps19","Rps9","Eif5a","Npm1","Apbb1","Bcl10","Wars","Ube2n","Akt1","Nme1","Dyrk3","Traf2","Eif3a","Ikbkb","Ifnar2","Dars","F2r","Eif3j1","Ccnd3","Ccnd2","Rars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.0139925826924538","0.0538176257402069","0.380730400722792","-0.545074244402873","-1.32011014607018","70","Cdk4","Cfl1","Arf1","Arhgdia","Rac1","Pin1","Ppp1ca","Pfn1","Ap2m1","Actr3","Arpc3","Ywhab","Prkag1","Ube2n","Cltc","Akt1s1","Akt1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_UV_RESPONSE_UP","0.0112017732780373","0.0466740553251555","0.380730400722792","-0.520289142314","-1.28190148687156","95","Eif2s3y","Eif5","Atp6v1f","Slc25a4","Rfc4","Pdap1","Fkbp4","Cdc34","Mrpl23","Nfkbia","Ppif","Ggh","Hspa13","Bcl2l11","Stip1","Bsg","Urod","Ap2s1","Acaa1a","Prpf3","Stk25","Pole3","Dnajb1","Sod2","Hnrnpu","Psmc3","Selenow","E2f5","Cebpg","Sigmar1","Polr2h","Wiz","Fen1","Prkaca","Rhob","Olfm1","Cdc5l","Casp3","Ccnd3","Ykt6","Rpn1","Cdkn1c","Mgat1","Btg2","Grpel1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ADIPOGENESIS","0.00800406174009762","0.0363820988186256","0.380730400722792","-0.507151964651804","-1.26526549749702","135","Atp5o","Suclg1","Cmpk1","Cox8a","Ndufa5","Ndufs3","Cox6a1","Cox7b","Scp2","Ubc","Uqcrc1","Sdhb","Ndufb7","Uqcr10","Sod1","Echs1","Gpx4","Uqcrq","Cdkn2c","Taldo1","Mrpl15","Ndufab1","Etfb","Idh1","Slc25a10","Vegfb","Pfkl","Slc25a1","Idh3a","Cyc1","Preb","Mdh2","Agpat3","Mtch2","Dnajc15","Por","Bcl2l13","Aplp2","Aco2","Phyh","Aldh2","Idh3g","Hadh","Ccng2","Lpcat3","Acly","Dlat","Qdpr","Uqcr11","Gbe1","Jagn1","Ghitm","Angpt1","Cd151","Cat","Mgst3","Pfkfb3","Nkiras1","Plin2","Grpel1","Dld","Bckdha","Dram2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","0.00593222156637799","0.0296611078318899","0.407017918923954","-0.625524930866919","-1.4698328261187","36","Prdx2","Prdx1","Ndufb4","Prdx6","Txn1","Sod1","Ftl1","Gpx4","Atox1","Gclm","Ndufa6","Lamtor5","Stk25","Sod2","Gsr","Glrx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V2","0.00309564484735475","0.0171980269297486","0.431707695803346","-0.607204469495304","-1.44716735465468","46","Cdk4","Dctpp1","Exosc5","Npm1","Supv3l1","Wdr43","Grwd1","Nop16","Mcm4","Pus1","Rabepk","Nop56","Nip7","Hspd1","Tmem97","Mcm5","Plk1","Nolc1","Rcl1","Tcof1","Wdr74","Ung","Plk4","Tfb2m","Pes1","Ndufaf4","Srm","Mphosph10","Mybbp1a","Aimp2","Bysl","Nop2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_FATTY_ACID_METABOLISM","0.00262674581212286","0.0164171613257679","0.431707695803346","-0.548119819669793","-1.34748014552011","92","Mif","Suclg1","Idi1","Fh1","Prdx6","Hsd17b10","Ostc","Apex1","Sdhd","Lgals1","Echs1","Odc1","Ywhah","Idh1","Ldha","Blvra","Sdha","Pdha1","Eci1","Mdh1","Urod","Metap1","Alad","Acaa1a","Kmt5a","Erp29","Mdh2","Acat2","Rdh11","Aco2","Idh3g","Hadh","Etfdh","Eci2","Acot1","Idh3b","Glul","Hsd17b4","Elovl5","Nsdhl","Suclg2","Bckdhb","Gabarapl1","Hccs","Ncaph2","Adsl","Ccdc58","Dld","Pts","Hmgcs1","Cbr1","Acadl","Auh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_GLYCOLYSIS","0.00172288397118551","0.0123063140798965","0.45505986738723","-0.534364387741113","-1.32714118964349","120","Ppia","Stmn1","Akr1a1","Mif","Txn1","Tpi1","Cyb5a","Sod1","Polr3k","Pgk1","Fkbp4","Taldo1","Idh1","Pkm","Ldha","Hax1","Hspa5","Phka2","Pgam1","Slc25a10","Pgls","Mdh1","Tpbg","Ugp2","Cited2","Eno1","Qsox1","Mpi","Ecd","Psmc4","Mdh2","Rpe","Fam162a","Got2","Gpc1","Glrx","Hmmr","Copb2","Prps1","Gmppb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.000625094350845954","0.00520911959038295","0.477270815362862","-0.603523240769134","-1.45775159856613","65","Slc25a4","Prdx1","Cnbp","Idi1","Scp2","Bcl10","Sod1","Ywhah","Idh1","Fis1","Pex13","Idh2","Acaa1a","Hras","Prdx5","Sod2","Fads1","Slc35b2","Siah1b","Ctbp1","Pex2","Rdh11","Ide","Eci2","Hsd17b4","Elovl5","Abcd3","Pex6","Lonp2","Cdk7","Cat","Itgb1bp1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.000155463629034583","0.00155463629034583","0.518848077743792","-0.542353273911789","-1.35936345770023","154","Ppia","Gapdh","Prdx1","Idi1","Psma4","Gmps","Tpi1","Shmt2","Pgk1","Actr3","Pdap1","Ppa1","Psme3","Wars","Phgdh","Lta4h","Gpi1","Arpc5l","Idh1","Ldha","Hspa5","Canx","Eif2s2","Psmd12","Stip1","Ebp","Pfkl","Eno1","Mcm4","Mthfd2","Tubg1","Pnp","Psmc4","Rrm2","Hspd1","Psmc2","Ufm1","Serpinh1","Psmb5","Tmem97","Cacybp","Fads1","Plk1","Pno1","Gsr","Mcm2","Pitpnb","Glrx","Rdh11","Eef1e1","Hspa9","Dhfr","Psmc6","Serp1","Txnrd1","Acly","Calr","Ung","Qdpr","Sec11a","Uchl5","Elovl5","Rit1","Mthfd2l","Gbe1","Cops5","Eprs","Ssr1","Ykt6","Plod2","Hspa4","Rpn1","Ube2d3","Nampt","Tcea1","Hprt","Btg2","Hmgcs1","Got1","Psph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_E2F_TARGETS","3.96481558706608e-05","0.00049560194838326","0.557332238758646","-0.545174621036085","-1.37290563542358","181","Tubb5","Stmn1","Cdk4","Atp5o","Dctpp1","Paics","Dut","Cdca3","Exosc8","Hnrnpd","Rad21","Dlgap5","Phf5a","Nap1l1","Anp32e","Ube2s","Dscc1","Ranbp1","Lyar","Cdkn2c","Cks1b","Rpa3","Rad1","Pop7","Ssrp1","Snrpb","Dck","Gins4","Asf1a","Pole4","Cdca8","Mcm7","Chek1","Nme1","Mcm4","Cks2","Mthfd2","Tubg1","Tcf19","Nop56","Cdc20","Cenpm","Tk1","Espl1","Rrm2","Rad50","Bard1","Ing3","Trip13","Mad2l1","Mcm6","Hmgb2","Srsf1","Pcna","Mcm5","Naa38","Plk1","Rfc2","Nolc1","Mcm2","Dnmt1","Ccnb2","Nudt21","Hmmr","Prps1","Mxd3","Trp53","Mcm3","Pttg1","Spc24","Eif2s1","Ung","Plk4","Psmc3ip","Mre11a","Asf1b","Lmnb1","Slbp","Tra2b","Cnot9","Birc5","Ilf3","Kif2c","Rbbp7","Ipo7","Rnaseh2a","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_DNA_REPAIR","1.69116785608059e-05","0.000281861309346766","0.575610261071129","-0.577317814221769","-1.43880437507284","130","Taf10","Rbx1","Polr2g","Dut","Edf1","Srsf6","Itpa","Snapc5","Nelfe","Impdh2","Sf3a3","Cox17","Rfc4","Gpx4","Nelfcd","Mpc2","Polr2f","Rpa3","Polr2d","Alyref","Gtf3c5","Adrm1","Ssrp1","Guk1","Pole4","Rfc5","Vps28","Nme1","Arl6ip1","Pnp","Eloa","Dad1","Supt4a","Surf1","Gtf2a2","Polr3c","Mrpl40","Aaas","Umps","Polr1c","Bola2","Tsg101","Pcna","Upf3b","Polr1d","Prim1","Sec61a1","Rfc2","Gtf2h3","Polr2e","Nudt21","Tmed2","Trp53","Cetn2","Polr2h","Taf12","Eif1b","Bcap31","Dguok","Taf13","Tyms","Polr2c","Fen1","Clp1","Sac3d1","Dgcr8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYC_TARGETS_V1","1.18017663992712e-14","2.95044159981781e-13","0.986546283587582","-0.658969691701344","-1.65947417286366","181","Ppia","Rplp0","Eef1b2","Cdk4","Rps5","Hsp90ab1","Rack1","Phb2","Cox5a","Rpl34","Snrpd3","Snrpg","Rpl6","Snrpb2","Rps2","Kars","Psma7","Cnbp","Snrpa1","Cct2","Snrpd2","Nhp2","Dut","Psmb2","Npm1","Hnrnpd","Vdac3","Rps6","Apex1","Psma4","Impdh2","Rpl18","Rfc4","Psmd7","Ruvbl2","Ccna2","Psma6","Pgk1","Nap1l1","Ywhae","Rpl22","Pcbp1","Ywhaq","Odc1","Ranbp1","Glo1","Fbl","Ndufab1","Serbp1","Mrpl23","Ldha","Cct4","Psmd3","Canx","Eif2s2","Cad","Ptges3","Psmb3","Eif4a1","Mrps18b","Mcm7","Psmd8","Dhx15","Nop16","Acp1","Nme1","Hnrnpa2b1","Mcm4","U2af1","Nop56","Cdc20","Psmc4","Cyc1","Hspd1","C1qbp","Eif1ax","Pole3","Srsf3","Cct5","Mad2l1","Mcm6","Srsf1","Pcna","Hnrnpu","Mcm5","Got2","G3bp1","Psma2","Nolc1","Mcm2","Cdc45","Lsm2","Vbp1","Prpf31","Ap3s1","Ube2l3","Trim28","Srsf7","Ilf2","Rnps1","Txnl4a","Eif4g2","Ppm1g","Psmc6","Cct3","Tcp1","Eif3b","Eif2s1","","","","",""
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","6.39438035739514e-18","3.19719017869757e-16","1.0959292864312","-0.681777358767109","-1.71467145133752","175","Phb2","Cox5a","Atp5o","Ndufa2","Ndufc2","Mrpl34","Ndufb6","Ndufb8","Cox4i1","Slc25a5","Atp6v1f","Ndufa3","Slc25a4","Mrps11","Uqcrc2","Suclg1","Ndufa1","Ndufa7","Cox8a","Ndufa5","Tomm22","Ndufs3","Cox6a1","Atp5e","Atp5g3","Ndufb2","Cox7b","Mrpl35","Fh1","Uqcrh","Atp5b","Cox5b","Ndufb4","Vdac3","Ndufc1","Hsd17b10","Uqcrc1","Sdhd","Sdhb","Uqcrb","Timm8b","Ndufs6","Cox17","Ndufb7","Cyb5a","Uqcr10","Echs1","Gpx4","Uqcrq","Uqcrfs1","Atp5h","Polr2f","Atp6v1g1","Mrpl15","Gpi1","Supv3l1","Atp5j2","Ndufab1","Cox7c","Ndufb5","Etfb","Mrps22","Idh1","Timm13","Ldha","Sdha","Atp5d","Ndufa6","Cox6b1","Pdha1","Ndufa9","Eci1","Mdh1","Cycs","Slc25a12","Mpc1","Ndufa8","Ndufs8","Cox7a2l","Slc25a11","Ndufa4","Ldhb","Ndufs7","Idh2","Acaa1a","Atp5l","Idh3a","Cyc1","Surf1","Cyb5r3","Oat","Mdh2","Got2","Timm50","Vdac2","Por","Aco2","Phyh","Hspa9","Ndufb3","Idh3g","Fxn","Cox6c","Etfdh","Timm9","Mtx2","Idh3b","Timm10","Ndufv2","Dlat","Fdx1","Ndufv1","Ndufs2"
