"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71","Leading Edge 72","Leading Edge 73","Leading Edge 74","Leading Edge 75","Leading Edge 76","Leading Edge 77","Leading Edge 78","Leading Edge 79","Leading Edge 80","Leading Edge 81","Leading Edge 82","Leading Edge 83","Leading Edge 84","Leading Edge 85","Leading Edge 86","Leading Edge 87","Leading Edge 88","Leading Edge 89","Leading Edge 90","Leading Edge 91","Leading Edge 92","Leading Edge 93","Leading Edge 94","Leading Edge 95","Leading Edge 96","Leading Edge 97","Leading Edge 98","Leading Edge 99","Leading Edge 100","Leading Edge 101","Leading Edge 102","Leading Edge 103","Leading Edge 104","Leading Edge 105","Leading Edge 106","Leading Edge 107","Leading Edge 108","Leading Edge 109","Leading Edge 110","Leading Edge 111","Leading Edge 112","Leading Edge 113"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.873065015479876","1","0.0195287736089407","-0.326832698122748","-0.724926353890992","20","Pim1","Hax1","Cntfr","Cd9","Grb2","Stam2","Pdgfc","Crlf2","Socs3","Il6st","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","0.860940695296524","1","0.0198261062533673","-0.335003585623787","-0.765308642813175","25","Tle1","Adgrg1","Amot","Cdk5r1","Cntfr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.817356205852674","1","0.0221551238181839","-0.358901359762994","-0.873031360756119","77","Marcks","Nfkbia","Rela","Yrdc","Ptx3","Mcl1","Sod2","Sat1","Ier2","Tnc","Sgk1","Rhob","Pfkfb3","Nampt","Mxd1","Btg2","Rcan1","Irs2","Kdm6b","Dusp1","Panx1","Nfkb1","Ier5","Dnajb4","Plpp3","Plk2","Pnrc1","Btg1","Cflar","Id2","Pde4b","Dusp4","Map2k3","Socs3","Jag1","Ifit2","Il6st","Nr4a2","Klf6","Klf10","Rnf19b","Tiparp","Snn","Egr1","B4galt1","Tnfaip8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_SPERMATOGENESIS","0.784412955465587","1","0.0246382257063476","-0.368597729558831","-0.886803223826669","56","Gstm5","Vdac3","Rfc4","Taldo1","Tsn","Ncaph","Cnih2","Nphp1","Scg3","Ccnb2","Ide","Nek2","Jam3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_IL2_STAT5_SIGNALING","0.780684104627767","1","0.024567800621605","-0.364668439240566","-0.892444373285743","83","Gpx4","Odc1","Pim1","Ncoa3","Ckap4","Pus1","Pnp","Dcps","Umps","Uck2","Gsto1","Ctsz","Eef1akmt1","Swap70","Twsg1","Rnh1","Praf2","Rhob","Casp3","Ccnd3","Gabarapl1","Ccnd2","Cyfip1","Cdkn1c","Mapkapk2","Ptrh2","Plin2","Mxd1","Ttc39b","Nop2","Cd81","Prnp","Ncs1","Plagl1","Spred2","Pdcd2l","Plpp1","Cdc6","Ccne1","Socs2","Lclat1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.771486349848332","1","0.0254820564855004","-0.367484370990605","-0.88634813350834","62","Psmb2","Wars","Pim1","Nfkbia","Ncoa3","Mthfd2","Trafd1","Pnp","Lap3","Sod2","Sri","Psma2","Ripk1","Ifnar2","Psme2","Casp3","Nampt","Nup93","Psma3","Ogfr","Txnip","Nfkb1","Serping1","Psme1","Sppl2a","Jak2","Btg1","B2m","Pde4b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.764826175869121","1","0.0265350909115755","-0.370760708261888","-0.846995037142699","25","Wars","Trafd1","Lap3","Psme2","Psma3","Ogfr","Txnip","Cd47","Psme1","B2m","Lpar6","Ncoa7","Ifit2","Ifitm2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEME_METABOLISM","0.719","1","0.0285743975105342","-0.37745030376447","-0.935481474678824","114","Prdx2","Ubac1","Top1","Gmps","Gclm","Blvra","Pgls","Ypel5","Bsg","Urod","Mkrn1","Alad","Bnip3l","Rcl1","Rad23a","Narf","Dcun1d1","Atg4a","Ccnd3","H1f0","Cat","Hdgf","Acsl6","Mgst3","Vezf1","Dcaf11","Tcea1","Bach1","Cdr2","Btg2","Arl2bp","Pigq","Cir1","Sdcbp","Gde1","Eif2ak1","Blvrb","Tns1","Rbm38","Ppox","Snca","Minpp1","Nr3c1","Rnf123","Slc25a38","Mfhas1","Bmp2k","Clcn3","Map2k3","Tfdp2","Dcaf10","Igsf3","Usp15","Gapvd1","Aldh6a1","Nudt4","Psmd9","Mospd1","Kdm7a","Smox","Glrx5","Riok3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","0.636363636363636","0.964187327823691","0.0366082221336689","-0.425569173158399","-0.923060056445258","17","Srp14","Stxbp1","Srp9","Sec11a","Pcsk2","Spcs1","Chga","Neurod1","Insm1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","0.548582995951417","0.857160931174089","0.0419926218968594","-0.41316316230343","-0.983754461787976","45","Adrm1","Nfkbia","Rela","Tpbg","Pdpn","Sri","Psen1","Slc31a1","Chst2","Nampt","Mxd1","Btg2","Slc7a1","Atp2c1","Nfkb1","Selenos","Acvr2a","Mmp14","Abi1","Slc7a2","Gabbr1","Pde4b","Itgb8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
