"","pval","padj","log2err","ES","NES","size","Leading Edge 1","Leading Edge 2","Leading Edge 3","Leading Edge 4","Leading Edge 5","Leading Edge 6","Leading Edge 7","Leading Edge 8","Leading Edge 9","Leading Edge 10","Leading Edge 11","Leading Edge 12","Leading Edge 13","Leading Edge 14","Leading Edge 15","Leading Edge 16","Leading Edge 17","Leading Edge 18","Leading Edge 19","Leading Edge 20","Leading Edge 21","Leading Edge 22","Leading Edge 23","Leading Edge 24","Leading Edge 25","Leading Edge 26","Leading Edge 27","Leading Edge 28","Leading Edge 29","Leading Edge 30","Leading Edge 31","Leading Edge 32","Leading Edge 33","Leading Edge 34","Leading Edge 35","Leading Edge 36","Leading Edge 37","Leading Edge 38","Leading Edge 39","Leading Edge 40","Leading Edge 41","Leading Edge 42","Leading Edge 43","Leading Edge 44","Leading Edge 45","Leading Edge 46","Leading Edge 47","Leading Edge 48","Leading Edge 49","Leading Edge 50","Leading Edge 51","Leading Edge 52","Leading Edge 53","Leading Edge 54","Leading Edge 55","Leading Edge 56","Leading Edge 57","Leading Edge 58","Leading Edge 59","Leading Edge 60","Leading Edge 61","Leading Edge 62","Leading Edge 63","Leading Edge 64","Leading Edge 65","Leading Edge 66","Leading Edge 67","Leading Edge 68","Leading Edge 69","Leading Edge 70","Leading Edge 71"
"HALLMARK_COAGULATION","0.376278118609407","0.752556237218814","0.096240602328129","0.432113567769918","1.05130156214827","16","Sh2b2","Ctsb","Fn1","Arf4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.486761710794297","0.763315616872102","0.0815265143256594","0.351556306001016","0.951568885620427","28","Ldlr","Fads2","Errfi1","Pcyt2","Hmgcr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.493123772102161","0.763315616872102","0.0789209638180035","0.311074410757763","0.930819723727265","51","Jun","Fn1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","0.504873294346979","0.763315616872102","0.077274697304471","0.306438485952845","0.924224158432577","52","Nin","Gucy1a1","Trib2","St6gal1","Tspan7","Snap91","Tor1aip2","Avl9","Btbd3","Usp12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MTORC1_SIGNALING","0.526923076923077","0.763315616872102","0.0743625384422526","0.271688342536176","0.908642499995525","110","Hspa4","Slc7a5","Ldlr","Fads2","Coro1a","Sqstm1","Insig1","Slc6a6","Xbp1","Ykt6","M6pr","Ddit4","Uso1","Slc1a4","Fads1","Gga2","Ifrd1","Btg2","Elovl5","Slc2a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","0.552734375","0.763315616872102","0.0727141077934447","0.296945220637832","0.888173440007063","50","Cdh13","Mef2d","Cnn3","Mef2c","Ifrd1","Sptan1","Camk2b","Gnao1","Pfkm","Nos1","Rb1","Akt2","Myh9","Reep1","Bag1","Large1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.554","0.763315616872102","0.0738052724171275","0.316549622567277","0.896171477328733","36","Peli1","Psme1","Btg1","Adar","Ogfr","Trim26","St8sia4","Jak2","Eif4e3","Hif1a","Cmtr1","Ptpn2","Trafd1","Nampt","Arid5b","Casp3","Ly6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANDROGEN_RESPONSE","0.601532567049808","0.79149021980238","0.0675188953767744","0.294595849517","0.868257059729325","45","Gucy1a1","Insig1","Slc38a2","Pias1","Adrm1","Sgk1","Appbp2","Fads1","Elovl5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PEROXISOME","0.670498084291188","0.838122605363985","0.062249042949858","0.280837590787328","0.827707590715402","45","Abcc8","Vps4b","Cacna1b","Atxn1","Fads1","Elovl5","Pex13","Acaa1a","Pex2","Siah1a","Cadm1","Ctps","Slc23a2","Sod1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE","0.718146718146718","0.863248266427662","0.0593487680335629","0.243682479738717","0.830959982006657","121","Mid1","Nin","Marcks","Csnk1d","Sass6","Vcl","Llgl1","Flnb","Kif3c","Rapgef5","Pkd2","Cttn","Sptan1","Tlk1","Cep57","Nedd9","Clip2","Numa1","Ophn1","Capzb","Stau1","Sun2","Fscn1","Cenpf","Lrpprc","Flna","Arhgap5","Arhgdia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
