"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",3.77986355619002e-100,1.35806521117861,0.629,0.088,2.60016814030311e-96
"Tsix",1.19848613665548e-58,0.632178691326466,0.393,0.022,4.12219306702652e-55
"Eif2s3y",8.84631723245993e-52,-0.515591965261442,0.043,0.37,2.02846054140306e-48
"Uty",3.49559436062e-43,-0.425262900860356,0.041,0.33,6.01154840167625e-40
"Kdm5d",2.74608862359092e-30,-0.304024233541629,0.021,0.218,3.77806872833639e-27
"Gm47283",4.96665619145109e-28,-0.376606299305789,0.501,0.727,5.69427132349867e-25
"mt-Nd1",7.40154123744646e-21,0.0850769569571499,0.994,0.997,7.27360031034203e-18
"mt-Atp6",3.83229458729859e-18,0.0525163582711001,1,1,3.29529430825337e-15
"mt-Co2",6.17892263427865e-17,0.0533247867970497,1,1,4.72275653346698e-14
"mt-Nd2",2.40644360885653e-16,0.0833310260681945,0.996,0.992,1.65539255853241e-13
"Ddx3y",2.65066724249273e-16,-0.159771864056354,0.015,0.128,1.65763090555522e-13
"mt-Co3",2.47163107395697e-15,0.0479410913987666,1,1,1.41686251314583e-12
"mt-Cytb",5.84989974279224e-15,0.0529599316131035,1,0.998,3.09549694851291e-12
"Jun",1.91745237441803e-12,0.285564744850937,0.555,0.385,9.42153920258688e-10
"mt-Nd4",1.69582944673495e-11,0.0515781366069978,0.997,0.998,7.7770738427265e-09
"mt-Co1",3.76702494683442e-08,0.0405448167297684,1,1,1.61958528807962e-05
"mt-Nd5",2.86898987621294e-07,0.127349613457147,0.866,0.808,0.000111477935492793
"Tmsb4x",2.91699787595621e-07,-0.0735169478457096,0.99,0.997,0.000111477935492793
"Zbtb20",1.4821529731421e-06,-0.192211482335695,0.617,0.727,0.000536617384328658
"Ddx5",1.57749077744223e-06,-0.0845999128486299,0.92,0.942,0.000542577952901253
"Dusp16",3.1294470393403e-06,0.137668643918626,0.169,0.082,0.00102511743731533
"Mbnl2",4.34308030467067e-06,0.171602995275601,0.277,0.172,0.00135800224617407
"mt-Nd3",5.32999791046309e-06,0.126362825920513,0.871,0.795,0.00159413285330763
"Gm44686",9.06405493921288e-06,0.187187790941607,0.397,0.288,0.00259798474695189
"Nrp1",1.68372806228195e-05,-0.107113894621155,0.82,0.85,0.00463294613617501
"Csmd1",2.26123365576923e-05,-0.120307884400542,0.765,0.805,0.00598270243001405
"Mapre2",4.33979492153552e-05,0.152366642482628,0.563,0.458,0.0110568330612011
"Slf1",4.82899177390056e-05,-0.156402269349134,0.369,0.46,0.0118637980045221
"March1",7.6403008753753e-05,-0.144494092243342,0.632,0.703,0.018123320593692
"Gm28379",8.50008000310301e-05,0.127063535239221,0.172,0.098,0.0194906834471152
"Rpl26",0.000112177844515894,-0.123617568808457,0.58,0.642,0.0248926255620915
"Celf5",0.000144067803471105,0.138725806063249,0.39,0.297,0.0304366501496713
"Vav3",0.000146010968881982,-0.146250076942074,0.264,0.355,0.0304366501496713
"Kcnq3",0.000166846923053416,-0.121135903382871,0.726,0.778,0.0337570583436603
"Prkcg",0.000178152590564809,0.0918635479011734,0.123,0.062,0.0341931728248671
"Cntn2",0.000181072460069614,-0.11246383762223,0.708,0.76,0.0341931728248671
"Chsy3",0.000183914434441064,0.116726657882545,0.108,0.052,0.0341931728248671
"Stmn1",0.000199050570264736,-0.0496357521606536,0.986,0.995,0.0360333913908189
"Hist1h2bc",0.0002107274297334,0.152100692893011,0.324,0.235,0.0371690766445143
"Robo1",0.000245471394958559,-0.0943696482754965,0.856,0.877,0.0420334881360462
"Kcna1",0.000250526677362683,-0.0923484710639437,0.054,0.107,0.0420334881360462
"Mid1",0.00030807751546055,0.111687426641204,0.207,0.13,0.0504586959250743
"Zdbf2",0.000316787410925185,0.116548944508036,0.198,0.127,0.0506786185989384
"Ppid",0.000326946796366337,-0.115048478344126,0.145,0.218,0.0511151593682734
"Sh2b2",0.000342910030550056,0.119426490970904,0.239,0.162,0.0524195133367518
"Slc24a5",0.000353083762666149,-0.130820862162655,0.483,0.55,0.0528013739865314
"Zranb2",0.000363007631721635,-0.133340558280623,0.34,0.427,0.0531304148641091
"Apc",0.000383492197308562,-0.102024075007703,0.719,0.787,0.0549592255267833
"Tug1",0.000433046976217784,0.103359360619314,0.169,0.103,0.0607944928449415
"Gm26871",0.000487556850509241,-0.117823065551866,0.714,0.782,0.0670780714930614
"Map1b",0.000514017542875296,0.0598383660025321,0.959,0.938,0.069331895636062
"Gm42418",0.000527828107360426,-0.0608569533628172,0.884,0.893,0.0696473155711755
"Trim59",0.00053660528060362,0.100068657995197,0.16,0.097,0.0696473155711755
"Ppp2r5c",0.000561867892556556,0.119397289847298,0.401,0.302,0.0715757265351212
"Dcc",0.000606238818906263,-0.0869323669536479,0.874,0.892,0.0756967428392182
"Klf6",0.00061725233905418,0.0890050012335452,0.133,0.075,0.0756967428392182
"Syp",0.000631922631190321,0.115676814784709,0.268,0.19,0.0756967428392182
"Gpm6b",0.000647604731756783,-0.0789493828492664,0.78,0.802,0.0756967428392182
"Gm9801",0.000649237945560964,-0.12038742324067,0.344,0.42,0.0756967428392182
"Cdh13",0.00067746914449993,0.154167335755331,0.368,0.287,0.0758386544689757
"Ier2",0.000684705602735491,0.0919266771993772,0.159,0.095,0.0758386544689757
"Opcml",0.000685549990042865,-0.0955130045006447,0.851,0.878,0.0758386544689757
"Tmem208",0.000694553747862402,-0.116951454549722,0.22,0.298,0.0758386544689757
"Snhg14",0.000770897096208294,-0.122065774559382,0.476,0.547,0.0828593925752634
"Chl1",0.000830089621054781,-0.11353901955751,0.633,0.688,0.0878490231267052
"Hist1h2ac",0.000859286689463067,0.0984824289882942,0.155,0.093,0.0895611081335824
"Cdh2",0.00088364313386544,-0.0748552369357287,0.846,0.882,0.0907250913113487
"Cmpk1",0.000902382487476746,-0.110526479177222,0.181,0.255,0.0912866048728314
"Mtmr1",0.000934190591093313,-0.112809439624965,0.243,0.317,0.0931347402337811
"Rpl36a",0.000967002546531358,-0.124273739352214,0.354,0.423,0.0950287216798459
"Ints9",0.000983767742244348,-0.0904975911055624,0.107,0.168,0.0953146239281531
"Nsun5",0.00102663705349453,0.0797655927490532,0.109,0.058,0.0961205897575127
"4930512B01Rik",0.00103275322997887,0.0939508800877501,0.13,0.075,0.0961205897575127
"Agtpbp1",0.00103400547202441,0.125515823571216,0.373,0.297,0.0961205897575127
"Rbm4",0.00114278866822719,-0.112169391476755,0.242,0.315,0.10481310091538
"Rps5",0.00116141569907305,-0.0965347778816982,0.649,0.705,0.10481310091538
"Osbpl9",0.00117322412712375,0.108648608451082,0.663,0.587,0.10481310091538
"Hmgb2",0.00119904282281503,0.115891902645443,0.376,0.287,0.105746353565956
"Atp5c1",0.00124309657081514,-0.119015448780531,0.325,0.403,0.1082438140587
"Mrpl34",0.00135896520420632,-0.120922025671578,0.147,0.207,0.116854020496691
